uid_vk,uid_inst
5394,751026638
22884,2744159
89831,389335890
103177,199238507
128184,2680807187
287383,4355999142
323426,262205325
396916,2318740468
411887,324637050
424983,234009055
440401,1460125089
460592,963814117
548294,2008029075
602277,34259567
625674,252673120
678747,44827282
688773,1552256479
690076,174473229
716194,277655428
723868,705916151
724031,833911963
730048,42753460
731235,144453303
733023,332707352
733627,285052643
738859,1814863382
763786,1758978298
771450,1101678048
786268,535726771
801855,2349650083
810285,3296369720
816936,483551402
851300,278789282
852042,1517726154
863837,1212535796
864321,1965348809
879258,2272150903
886873,199731627
929031,1292158969
960400,1638475028
1010702,143723070
1027431,201851893
1047557,287870298
1052030,464674258
1076944,2178365002
1083729,244314482
1091682,325584095
1097673,316801425
1146214,4112556497
1177463,226504408
1184286,352295331
1210314,752232624
1237026,708417269
1259074,555959487
1268838,270735517
1290780,1103111379
1292097,1407639915
1292485,236519517
1305531,8036045
1313957,494378749
1316367,467596378
1321267,2133757904
1346492,1443457767
1367268,225406880
1378382,438121998
1434298,1098889841
1441567,516260962
1447160,35468247
1478065,2274730005
1482382,42026964
1501714,508115345
1501773,248092342
1502809,291423441
1513338,1424394636
1526843,52402952
1532902,2281286448
1533999,179269715
1603239,241187735
1643053,2156937445
1679376,1484830256
1693779,395286450
1718653,2425293175
1721543,345386977
1724877,326358612
1728328,1427292823
1746902,344429708
1772522,42219979
1816295,188070652
1822341,365654581
1839977,254657584
1861242,216677258
1876876,2216637950
1880567,419385828
1908937,1583395732
1956335,1526068663
1961904,565915728
2012193,1300966107
2014960,1009685237
2016938,457673504
2027715,1070111976
2056866,4066391089
2076941,479850600
2083640,182519859
2113317,2452449539
2118637,260889879
2128947,182393275
2163950,600891748
2167803,3018688884
2190086,326272194
2196960,32710492
2220984,467540741
2229324,2927845536
2244545,286080646
2261306,2325741704
2264612,286737641
2271374,376394643
2273527,221101518
2277495,967716881
2278838,1274100611
2293962,231369534
2308224,1314471008
2326248,256962388
2344428,18432145
2379517,1407779393
2387887,368626511
2416610,517298918
2431281,42301315
2435449,184832604
2446729,2985196125
2474152,290508485
2476831,265471885
2478050,246595840
2479711,2265380248
2515739,407695238
2518384,204932598
2521722,1160178043
2523557,184420175
2533435,1095167483
2533558,46107187
2554533,413927100
2591736,361997234
2592631,3694953
2599262,430535533
2607806,563077034
2627745,194677349
2635130,3926277731
2660856,249125264
2673386,1687061071
2677292,211588776
2684383,1001139298
2685230,520504556
2686481,13196949
2704440,1590789748
2730352,200594407
2732575,7174808
2737471,1312706563
2743907,2653458467
2745419,1259056635
2759063,414924455
2786274,224778845
2818107,239781518
2820131,709899609
2848948,216674121
2862432,4814023413
2867115,3209253502
2867338,177802750
2876136,272965090
2896228,400363174
2927904,2160942882
2981295,1979480840
3034621,299304668
3040977,1567083635
3065219,608000040
3292094,294290837
3436666,399777914
3464265,301387908
3493260,404905043
3918805,400246218
3957150,312786572
4067700,285871753
4077098,1230433574
4144590,220758755
4202279,46761514
4212744,36843405
4241935,357239230
4255503,394934080
4262342,380095493
4286259,965134266
4367148,263770773
4399058,954840038
4420023,33891343
4440238,1346190853
4454710,3524335119
4543901,357967046
4562049,1613308291
4565282,37001695
4584536,429451581
